

---------------------------------------------------------------------------------------------
				RESUMEN FINAL Y CONTEO DE LOS CAMPOS IMPORTANTES: 
---------------------------------------------------------------------------------------------
	Order Priority:
			C : 250313
			H : 249861
			L : 250133
			M : 249693
---------------------------------------------------------------------------------------------
	Item Type:
			Baby Food : 83397
			Vegetables : 83170
			Personal Care : 83539
			Office Supplies : 83222
			Clothes : 83240
			Household : 83267
			Snacks : 83448
			Cereal : 83211
			Cosmetics : 83431
			Beverages : 83326
			Fruits : 83551
			Meat : 83198
---------------------------------------------------------------------------------------------
	Country:
			Benin : 5334
			Papua New Guinea : 5397
			Angola : 5397
			Cambodia : 5398
			Sudan : 5438
			East Timor : 5371
			Kazakhstan : 5341
			Portugal : 5433
			Syria : 5471
			North Korea : 5389
			Solomon Islands : 5271
			Grenada : 5372
			Greece : 5415
			Mongolia : 5351
			Latvia : 5367
			Morocco : 5456
			Iran : 5374
			Marshall Islands : 5382
			Mali : 5456
			Panama : 5606
			Guatemala : 5405
			Iraq : 5386
			Laos : 5375
			Nepal : 5412
			Tunisia  : 5416
			The Gambia : 5373
			Tanzania : 5456
			Ukraine : 5438
			Ghana : 5485
			Zambia : 5390
			Belize : 5313
			Bahrain : 5442
			India : 5346
			Canada : 5389
			Maldives : 5479
			Guinea-Bissau : 5333
			Turkey : 5343
			Belgium : 5365
			The Bahamas : 5469
			Namibia : 5449
			Finland : 5487
			Taiwan : 5483
			Comoros : 5426
			South Africa : 5377
			Trinidad and Tobago : 5406
			Democratic Republic of the Congo : 5424
			Georgia : 5260
			Central African Republic : 5427
			Jamaica : 5344
			Turkmenistan : 5340
			Germany : 5316
			Yemen : 5355
			Mauritius  : 5374
			Eritrea : 5369
			Fiji : 5405
			Samoa  : 5386
			Guinea : 5462
			Somalia : 5393
			Chad : 5501
			Sao Tome and Principe : 5431
			Madagascar : 5325
			Thailand : 5468
			Equatorial Guinea : 5376
			Libya : 5368
			Kiribati : 5367
			Moldova  : 5389
			Costa Rica : 5380
			Sweden : 5361
			Vietnam : 5367
			Malawi : 5428
			Andorra : 5377
			Liechtenstein : 5496
			Poland : 5334
			Jordan : 5442
			Bulgaria : 5414
			Nigeria : 5305
			Kuwait : 5281
			Croatia : 5421
			Sri Lanka : 5366
			United Kingdom : 5359
			United Arab Emirates : 5422
			Tuvalu : 5388
			Kenya : 5374
			Switzerland : 5337
			Spain : 5494
			Lebanon : 5350
			Brunei : 5508
			Djibouti : 5445
			Cuba : 5353
			Azerbaijan : 5373
			Liberia : 5591
			Czech Republic : 5466
			Burkina Faso : 5478
			Saint Lucia : 5426
			Mauritania : 5436
			Swaziland : 5360
			Palau : 5440
			Israel : 5401
			San Marino : 5497
			Australia : 5472
			Tajikistan : 5400
			Estonia : 5352
			Myanmar : 5482
			Cameroon : 5408
			Cyprus : 5453
			Malaysia : 5413
			Oman : 5283
			Iceland : 5339
			Armenia : 5440
			Gabon : 5465
			Austria : 5316
			South Korea : 5436
			Mozambique : 5312
			El Salvador : 5429
			Monaco : 5374
			Luxembourg : 5289
			Saint Kitts and Nevis  : 5447
			Algeria : 5518
			Slovenia : 5386
			Lesotho : 5456
			Tonga : 5322
			Republic of the Congo : 5402
			Hungary : 5364
			South Sudan : 5403
			Japan : 5396
			Belarus : 5335
			Albania : 5412
			New Zealand : 5496
			Vanuatu : 5356
			Senegal : 5477
			Italy : 5458
			Honduras : 5404
			Macedonia : 5329
			Nauru : 5304
			Ethiopia : 5488
			Haiti : 5422
			Burundi : 5325
			Afghanistan : 5415
			Antigua and Barbuda  : 5378
			Singapore : 5514
			United States of America : 5421
			Egypt : 5539
			Federated States of Micronesia : 5480
			Sierra Leone : 5445
			Seychelles  : 5484
			Vatican City : 5358
			Russia : 5354
			Malta : 5430
			Saudi Arabia : 5452
			Cape Verde : 5508
			Netherlands : 5397
			Pakistan : 5429
			Kosovo : 5391
			Qatar : 5435
			Ireland : 5393
			China : 5429
			Slovakia : 5396
			Lithuania : 5398
			France : 5451
			Serbia : 5458
			Bosnia and Herzegovina : 5399
			Kyrgyzstan : 5342
			Bhutan : 5429
			Romania : 5391
			Togo : 5353
			Niger : 5428
			Philippines : 5400
			Cote d'Ivoire : 5390
			Rwanda : 5355
			Uzbekistan : 5304
			Bangladesh : 5372
			Barbados : 5347
			Nicaragua : 5342
			Norway : 5390
			Botswana : 5409
			Saint Vincent and the Grenadines : 5374
			Denmark : 5443
			Dominican Republic : 5445
			Mexico : 5472
			Uganda : 5463
			Zimbabwe : 5362
			Montenegro : 5514
			Greenland : 5489
			Indonesia : 5477
			Dominica : 5380
---------------------------------------------------------------------------------------------
	Region:
			Australia and Oceania : 80837
			Asia : 146017
			Europe : 259036
			Central America and the Caribbean : 108042
			Middle East and North Africa : 124344
			North America : 21771
			Sub-Saharan Africa : 259953
---------------------------------------------------------------------------------------------
	Sales Channel:
			Offline : 500249
			Online : 499751
---------------------------------------------------------------------------------------------
